Name,Score,Th
DebertaBaseLastMLMLastFourLayer_BCE_fold0,0.8649930408783958,0.6
DebertaBaseLastMLMLastFourLayer_BCE_fold1,0.863767419509851,0.4
DebertaBaseLastMLMLastFourLayer_BCE_fold2,0.8673597534924067,0.5
DebertaBaseLastMLMLastFourLayer_BCE_fold3,0.8619141097695432,0.7
DebertaBaseLastMLMLastFourLayer_BCE_fold4,0.8663348462966783,0.8
DebertaBaseLastMLMLastFourLayer_BCE,0.8649040942996302,0.5

DebertaBaseLastMLM_BCE_fold0,0.8625810499895419,0.3
DebertaBaseLastMLM_BCE_fold1,0.8634731171437626,0.6
DebertaBaseLastMLM_BCE_fold2,0.8708751229105213,0.6
DebertaBaseLastMLM_BCE_fold3,0.860269566757976,0.8
DebertaBaseLastMLM_BCE_fold4,0.8695585880917894,0.8
DebertaBaseLastMLM_BCE,0.8654180658248071,0.5

DebertaBaseLastFourLayer_BCE_fold0,0.8604950972093811,0.5
DebertaBaseLastFourLayer_BCE_fold1,0.8585301554850163,0.8
DebertaBaseLastFourLayer_BCE_fold2,0.8682705736646551,0.3
DebertaBaseLastFourLayer_BCE_fold3,0.862639352839377,0.8
DebertaBaseLastFourLayer_BCE_fold4,0.8704878915570899,0.8
DebertaBaseLastFourLayer_BCE,0.8641526101038994,0.8

DebertaBaseVanila_BCE_fold0,0.8668412119936322,0.6
DebertaBaseVanila_BCE_fold1,0.8664286097836008,0.4
DebertaBaseVanila_BCE_fold2,0.8677114843016586,0.7
DebertaBaseVanila_BCE_fold3,0.8628409955439627,0.8
DebertaBaseVanila_BCE_fold4,0.8711199084844667,0.8
DebertaBaseVanila_BCE,0.8670378548562613,0.5
